node_1,node_2,edge,entity,importance,category,count
World War II,Second World War,synonyms,Event,5,Historical Event,4
Allies,Axis powers,opponents,Organization,4,Military Alliance,4
Tanks,Aircraft,complementary technologies,Object,3,Militarized Technology,4
Nuclear weapons,Total war,consequences of,Concept,5,Military Concept,4
Germany,Japan,enemies,Country,4,Geopolitical Entity,4
Poland,Soviet Union,occupied territories,Country,3,Geopolitical Entity,4
Holocaust,Genocides,types of war crimes,Event,5,Historical Event,4
Fascism,Militarism,related ideologies,Concept,4,Political Ideology,4
Manchuria,Sudetenland,regions invaded,Location,3,Geographic Region,4
Adolf Hitler,Nazi Germany,leader and organization,Person,5,Historical Figure,4
